alr	Alanine racemase
ansB	L-Asparaginase II
apaG	Expressed as part of complex ksgA operon, function unknown; Salmonella ortholog involved in Co2+ and Mg2+ efflux; upstream of apaH
apaH	Dinucleoside tetraphosphatase, symmetrical; diadenosine tetraphosphatase; bis(5'-nucleosyl)-tetraphosphatase, symmetrical
appA	Acid phosphatase, pH 2.5, exopolyphosphatase; phytase
appY	Global transcription regulator, AraC family, DLP12 prophage
apt	Adenine phosphoribosyltransferase; adenine salvage, AMP from PRPP + Ade
araA	L-Arabinose isomerase; first step in arabinose catabolism; converts L-arabinose to L-ribulose
araB	Ribulokinase
araC	Transcriptional activator for the ara regulon; autorepressor in the absence of arabinose co-activator
araD	L-ribulose-5-phosphate 4-epimerase
araE	Low-affinity L-arabinose transport; L-arabinose proton symport
araF	L-Arabinose-binding protein
araG	High-affinity L-arabinose transport
araH	High-affinity L-arabinose transport, membrane protein
araJ	Function unknown, arabinose inducible; not involved in arabinose uptake or utilization; possible arabinose exporter
arcA	Response regulator, represses aerobic genes during anaerobic growth; also activates some anaerobic genes; phosphorylated by two-component sensor kinase ArcB; RpoS represssor
arcB	Aerobic respiration control sensor histidine protein kinase; phosphorylates response regulator proteins ArcA and RssB
argA	N-acetylglutamate synthase; first step in arginine biosynthesis; amino-acid acetyltransferase; growth on acetylornithine
argB	N-acetylglutamate kinase
argC	N-acetyl-gamma-glutamyl-phosphate reductase
argD	Acetylornithine aminotransferase; succinyldiaminopimelate aminotransferase, PLP-dependent
argF	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase; CP4-6 putative prophage remnant
argG	Argininosuccinate synthase
argI	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase
argR	Repressor of Arg regulon; cer-mediated site-specific recombination in plasmid ColE1; hexameric
argS	Arginine--tRNA ligase
argT	Periplasmic Lys-, Arg-, and Orn-binding protein
aroA	5-enolpyruvyl shikimate-3-phosphate synthase; ESPS synthase; 3-phosphoshikimate-1-carboxyvinyltransferase
aroB	3-Dehydroquinate synthase
aroC	Chorismate synthase
aroD	3-Dehydroquinate dehydratase
aroE	Shikimate 5-dehydrogenase
aroF	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase; tyrosine repressible; TyrR regulon
aroG	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; phenylalanine repressible; TyrR regulon
aroH	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; tryptophan repressible
aroK	Shikimate kinase I; alkali-inducible
aroL	Shikimate kinase II
aroM	Regulated by aroR, function unknown
aroP	General aromatic amino acid transport
ascB	Cryptic phospho-beta-glucosidase; expressed when AscG is mutated
ascF	PTS system EIIBC enzyme, beta-glucoside phosphotransferase; paralogous to bglF; cryptic unless AscG is mutated
ascG	Repressor of cryptic asc operon
asd	Aspartate semialdehyde dehydrogenase
aslA	Suppresses gpp mutants; putative arylsulfatase
aslB	Suppresses gpp mutants, putative arylsulfatase
asnA	Asparagine synthase A; aspartate-ammonia ligase
asnB	Asparagine synthase B [glutamine-hydrolyzing]
asnC	Regulatory gene for asnA, asnC, gidA, Lrp family
asnS	Asparagine--tRNA ligase
aspA	L-Aspartate ammonia-lyase; L-aspartase
aspC	Aspartate aminotransferase, AspAT; kynurenine aminotransferase; glutamine transaminase K
aspS	Aspartate--tRNA ligase
atpA	ATP synthase subunit alpha, membrane-bound, F1 sector
atpB	ATP synthase subunit a, membrane-bound, F0 sector
atpC	ATP synthase subunit epsilon, membrane-bound, F1 sector
atpD	ATP synthase subunit beta, membrane-bound, F1 sector
atpE	ATP synthase subunit c, membrane-bound, F0 sector; DCCD-binding
atpF	ATP synthase subunit b, membrane-bound, F0 sector
atpG	ATP synthase subunit gamma, membrane-bound, F1 sector
atpH	ATP synthase subunit delta, membrane-bound, F1 sector
atpI	ATP synthase subunit, F1-F0-type proton-ATPase, membrane-bound
avtA	Alanine-alpha-ketoisovalerate transaminase, transaminase C
bcp	Thioredoxin-dependent thiol peroxidase; peroxide hypersensitivity
betA	Choline dehydrogenase, oxygen-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline
betB	Betaine aldehyde dehydrogenase, NAD-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline; tetrameric
betI	Repressor for the betIBA betT divergon, choline-sensing; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline
betT	High-affinity choline transporter; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline
bfr	Bacterioferritin; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur; 24-mer
bglB	Phospho-beta-glucosidase B; allows growth on arbutin or salicin when activated
bglF	PTS system EIIABC enzyme, beta-glucoside phosphotransferase; BglG kinase/dephosphorylase; membrane-bound protein; binds BglG
bglG	Transcription anti-terminator for cryptic bglGFBH operon; RNA-binding protein; dimerization and activity modulated by phosphorylation state; binds BglF, its kinase/dephosphorylase
bioA	7,8-diaminopelargonic acid aminotransferase
bioB	Biotin synthase; dethiobiotin to biotin pathway; iron-sulfur enzyme
bioC	Biotin synthesis blocked prior to pimeloyl CoA formation; putative SAM-dependent methyltransferase
bioD	Dethiobiotin synthase
bioF	7-keto-8-amino pelargonic acid synthase
bioH	Short acyl chain carboxylesterase, biotin synthesis; binds CoA; blocked prior to pimeloyl CoA formation
birA	Bifunctional biotin protein ligase, biotin operon repressor; biotin-[acetyl-CoA carboxylase] holoenzyme synthase; monomeric
bisC	Biotin sulfoxide and methionine (S) sulfoxide reductase; cytoplasmic
bolA	Stationary-phase morphogene, transcriptional repressor for mreB; also regulates dacA, dacC, and ampC transcription; shape determinant; FtsZ dependent; induced by AI-2 pheromone
btuB	B12 uptake, outer membrane receptor; receptor for E colicins, phages BF23 and C1
btuC	B12 uptake, ABC transporter permease
btuD	B12 uptake, ABC transporter ATPase
btuE	Non-essential for vitamin B12 transport
btuR	Regulatory gene affecting btuB
cadA	Lysine decarboxylase, acid-inducible; decameric
cadB	Lysine-cadaverine antiporter
cadC	Transcriptional activator for cadBA, low external pH-, low oxygen-, excess lysine-responsive; homodimeric
carA	Carbamoyl phosphate synthase, small subunit; glutamine-hydrolyzing, tetramer of heterodimers
carB	Carbamoyl phosphate synthase, ammonia, large subunit; tetramer of heterodimers
cca	tRNA nucleotidyltransferase, repairs terminal CCA of tRNAs
cdd	Cytidine deaminase; 2-deoxycytidine deaminase; mutants are 5-fluorodeoxycytidine resistant; binds Zn(II)
cdh	CDP-diglyceride hydrolase; Salmonella ortholog has both UDP sugar hydrolase (UshB) and NAD pyrophosphatase (PnuE) activities
cdsA	CDP-diglyceride synthase, integral membrane protein with eight transmembrane helices; also known as phosphatidate cytidylyltransferase
chbB	N,N'-diacetylchitobiose utilization, enzyme IIB(Chb) of the PTS transport system
chbC	PTS Enzyme IIC(Chb) for N,N'-diacetylchitobiose utilization
chbA	PTS Enzyme IIA(Chb), N,N'-diacetylchitobiose utilization; trimeric
chbR	Repressor, chb operon for N,N'-diacetylchitobiose utilization; AraC family 
chbF	N,N'-diacetylchitobiose utilization, phospho-chitobiase; can hydrolyze a variety of phospho-beta-glucosides
creD	Colicin E2 tolerance
cheA	Histidine protein kinase sensor of chemotactic response; CheY is cognate response regulator; autophosphorylating; CheAS is a short form produced by an internal start at codon 98
cheB	Chemotaxis MCP protein-glutamate methylesterase; reverses CheR methylation at specific MCP glutamates
cheR	Chemotaxis MCP protein methyltransferase, SAM-dependent; binds C-terminus of chemoreceptors; makes glutamate methyl esters
cheW	Chemotaxis signal transducer; bridges CheA to chemoreceptors to regulate phophotransfer to CheY and CheB
cheY	Response regulator for chemotactic signal transduction; CheA is the cognate sensor protein
cheZ	CheY-P phosphatase
modC	Molybdate uptake; chlorate resistance
moeA	Molybdopterin (MPT) synthesis; incorporation of molybdenum into MPT; chlorate resistance
moeB	Molybdopterin-synthase sulfurylase; probable adenylation/thiocarboxylation of MoaD C-terminus; chlorate resistance; zinc-containing enyzyme
cirA	Colicin I outer membrane receptor and translocator; ferric iron-catecholate transporter
clpA	ATPase subunit of ClpAP ATP-dependent protease; protease Ti; molecular chaperone
clpB	Bichaperone with DnaK for protein disaggregation; protein-dependent ATPase; role in de novo protein folding under mild stress conditions
clpP	Proteolytic subunit of ClpXP and ClpAP ATP-dependent proteases; protease Ti
clpX	ATPase subunit of ClpXP protease; ClpXP degrades ssrA-tagged proteins; molecular chaperone
cpdB	2',3'-cyclic nucleotide 2'-phosphodiesterase, periplasmic
cpsB	Colanic acid (CPS) biosynthesis; mannose 1-P guanyltransferase synthesis
cpsG	Phosphomannomutase isozyme; colanic acid biosynthesis synthesis
cpxA	Histidine protein kinase, periplasmic stress sensor; inner membrane protein; CpxR is the two-component cognate response regulator; Kan-R, phage Q resistant; L-serine growth
crp	cAMP receptor protein
crr	PTS Enzyme IIAGlc, phosphocarrier for glucose transport; negative control of rpoS
cspA	Cold-inducible RNA chaperone and anti-terminator; aids gene expression at low temperature; cold shock protein CS7.4; binds ssRNA and ssDNA
cstA	Starvation-induced protein involved in peptide utilization during carbon starvation
lnt	Apolipoprotein N-acetyltransferase; copper sensitivity
cvpA	Affects Col V production; member of purF operon
cyaA	Adenylate cyclase
cybB	Cytochrome b561
cydA	Cytochrome d (bd-I) terminal oxidase subunit I; upregulated in biofilms and microaerobic conditions; aerobically repressed by H-NS; anaerobically repressed by Fnr
cydB	Cytochrome d (bd-I) terminal oxidase subunit II; upregulated in biofilms and microaerobic conditions; aerobically repressed by H-NS; anaerobically repressed by Fnr
cynS	Cyanate aminohydrolase
cynT	Carbonic anhydrase, beta class
cynX	Putative transporter, function unknown, cyn operon
cyoA	Cytochrome o oxidase subunit II, lipoprotein; also called cytochrome bo(3) ubiquinol oxidase subunit II
cyoB	Cytochrome o oxidase subunit I; cytochrome bo(3) ubiquinol oxidase subunit I
cyoC	Cytochrome o oxidase subunit III; cytochrome bo(3) ubiquinol oxidase subunit III
cyoD	Cytochrome o oxidase subunit IV; cytochrome bo(3) ubiquinol oxidase subunit IV
cyoE	Cytochrome o oxidase subunit, protoheme IX farnesyltransferase
cysA	Sulfate permease, chromate resistance
cysB	Positive regulator for Cys regulon, acetylserine inducer; downregulates ssuEADCB; cysteine desulfhydrase
cysC	Adenylylsulfate kinase, APS kinase
cysD	Sulfate adenylyltransferase
cysE	Cysteine synthase, serine acetyltransferase (SAT); first step in cysteine synthesis; feedback inhibited by cysteine.hexameric
cysG	Siroheme synthase, multifunctional enzyme; has three activities: uroporphyrinogen III methyltransferase, SAM-dependent; precorrin-2 dehydrogenase; sirohydrochlorin ferrochelatase
cysH	Phosphoadenylyl sulfate (PAPS) reductase
cysI	Sulfite reductase [NADPH] hemoprotein beta-component; has 4Fe-4S iron-sulfur center
cysJ	Sulfite reductase [NADPH] flavoprotein alpha-component; binds FMN and FAD
cysK	Cysteine synthase A, O-acetylserine sulfhydrylase A; homodimeric; selenate, azaserine, chromate resistance; alkali-inducible, sulfate starvation-inducible protein SSI5; cysteine desulfhydrase
cysM	Cysteine synthase B, O-acetylserine sulfhydrylase B
cysN	Gtp subunit of ATP sulfurylase
cysP	Periplasmic sulfate binding protein
cysS	Cysteine--tRNA ligase; binds Zn(II)
cysU	Cysteine transport system; may also transport molybdate
cysW	Membrane-bound sulfate transport protein; may also transport molybdate
cytR	Regulatory gene for deo, udp, and cdd; mutants show improved growth on uridine
dacA	D-alanine D-alanine carboxypeptidase PBP5, cell morphology; penicillin-binding protein 5; beta-lactamase activity
dacB	D-alanine D-alanine carboxypeptidase PBP4; penicillin-binding protein 4
dacC	D-alanine D-alanine carboxypeptidase PBP6; penicillin-binding protein 6
dam	DNA-(adenine-N6)-methyltransferase, methylates GATC; role in repair and replication
dapA	Dihydrodipicolinate synthase
dapB	Dihydrodipicolinate reductase
dapD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase; mutations suppress growth defects of strains lacking superoxide dismutase
dapE	N-succinyl-diaminopimelate desuccinylase, DAP/lysine biosynthesis, contains Zn(2+)/Co(2+)
dapF	Diaminopimelate epimerase
dbpA	ATP-dependent 3'-5' RNA helicase, specific for 23S rRNA
dcm	DNA cytosine methyltransferase; internal cytosine methylated
dcp	Dipeptidyl carboxypeptidase II
ddlA	D-alanine:D-alanine ligase A, ADP-forming
ddlB	D-alanine:D-alanine ligase B, ADP-forming
deaD	ATP-dependent RNA helicase, 50S ribosomal subunit biogenesis; translation factor W2; factor X; facilitates translation of mRNAs with 5' secondary structures; multicopy suppressor of rpsB(Ts) mutations
dedA	Inner membrane protein in pdxB operon, function unknown
accD	Acetyl-CoA carboxylase, carboxyltransferase beta subunit
dedD	Membrane-anchored periplasmic protein involved in septation
deoA	Thymidine phosphorylase; homodimeric
deoB	Phosphopentomutase; deoxyribouratase
deoC	2-deoxy-D-ribose 5-phosphate aldolase (DERA); deoxyriboaldolase; binds selenium
deoD	Purine nucleoside phosphorylase; PNP; hexamer
deoR	Repressor for deo operon, nupG and tsx; binds deoxyribose-5-phosphate inducer
dgkA	Diacylglycerol kinase
dgt	Deoxyguanosine 5'-triphosphate triphosphohydrolase
dicA	Regulatory for dicB, Qin prophage
dicB	Control of cell division, activates MinC, Qin prophage
dicC	Regulatory for dicB, Qin prophage
flk	Prevents premature secretion of FlgM; senses flagellar assembly stage
dksA	RNAP-binding protein modulating ppGpp and iNTP regulation; reduces open complex half-life on rRNA promoters
dld	D-lactate dehydrogenase; vinylglycolate resistance, FAD enzyme
dmsA	DMSO reductase subunit A, anaerobic, periplasmic
dmsB	DMSO reductase subunit B; apparent Fe-S binding subunit; anaerobic
dmsC	DMSO reductase subunit C, periplasmic; has a membrane bound anchor
dnaA	DNA synthesis initiator and global transcription regulator; binds DNA at DnaA boxes, binds cardiolipin and other acidic phospholipids, binds ATP
dnaB	Replicative DNA helicase; DNA-dependent ATPase involved in DNA synthesis; binds DNA contrahelicase termination protein Tus at Ter sites; possibly involved in DNA recombination
dnaC	DNA biosynthesis, helicase DnaB loader; dual ATP/ADP switch protein
dnaE	DNA polymerase III, alpha subunit; suppressor of dnaG-Ts
dnaG	Primase for DNA replication; primer synthesis for leading- and lagging-strand synthesis; binds Zn(II)
dnaJ	DnaK co-chaperone; DNA-binding protein; stress-related DNA biosynthesis, responsive to heat shock; binds Zn(II)
dnaK	Hsp70 molecular chaperone, heat-inducible; bichaperone with ClpB for protein disaggregation
dnaN	DNA polymerase III sliding clamp beta subunit; required for high processivity; required for regulatory inactivation of DnaA
dnaQ	DNA polymerase III epsilon subunit; streptomycin, azaserine resistant; 3' to 5' proofreading, lexA regulon
dnaT	Primasomal protein i
dnaX	DNA polymerase III holoenzyme, tau and gamma ATPase subunits; gamma chain (aa 1-431) is main subunit of the clamp loader complex
mltD	Membrane-bound lytic transglycosylase D, murein hydrolase; periplasmic OM-attached lipoprotein
acpS	ACP-CoA phosphopantetheinyltransferase; Holo-ACP synthase
dppA	Dipeptide/heme transport, periplasmic binding protein; recognition for transport and chemotaxis
dsdA	D-serine dehydratase
dsdX	D-serine permease; D-serine tolerance
dut	dUTP pyrophosphatase; dUTPase
ebgA	Evolved beta-galactosidase, alpha subunit; normal substrate and function unknown; alpha(4)beta(4) holoenzyme
ebgC	Evolved beta-galactosidase, beta subunit; normal substrate and function unknown; alpha(4)beta(4) holoenzyme
ebgR	ebgAC operon repressor
eco	Ecotin, serine protease inhibitor
eda	KHG/KDPG aldolase; 2-keto-4-hydroxyglutarate aldolase and 2-keto-3-deoxy-6-phosphogluconate aldolase activities; homotrimeric; 2-keto-4-hydroxyglutarate aldolase is also known as 4-hydroxy-2-oxoglutarate aldolase. 2-keto-3-deoxy-6-phosphogluconate aldolas
edd	Phosphogluconate dehydratase; growth on gluconate
eno	Enolase; phosphoprotein; component of RNA degradosome
entA	2,3-Dihydro-2,3-dihydroxybenzoate dehydrogenase
entB	Isochorismatase, aryl carrier protein (ArCP); also called 2,3-dihydro-2,3-dihydroxybenzoate synthase
entC	Isochorismate synthase
entD	Enterochelin synthase, component D; EntB(ArCP)/EntF-CoA phosphopantetheinyltransferase; facilitates secretion of enterobactin peptide
entE	Enterochelin synthase, component E; 2,3-dihydroxybenzoate (DHB)-AMP ligase; holo-EntB(ArCP)-S-DHB formation
entF	Enterochelin synthase, component F; multifunctional: holo-EntF(PCP), primed by EntD; seryl-AMP, seryl-S-EntF synthase; DHB-Ser-S-EntF intermediate formation; chain-releasing thioesterase (TE) domain is both a cyclotrimerizing lactone synthase and an elong
lpxC	Lipid A synthesis, UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine deacetylase; zinc metalloamidase; cell envelope and cell separation
acrE	AcrEF-TolC efflux pump, multidrug/solvent resistance; membrane-fusion lipoprotein
acrF	AcrEF-TolC efflux pump, multidrug/solvent resistance; osmotically remedial envelope defect
envY	Thermoregulatory activator of porin expression, AraC family
envZ	Osmosensor histidine protein kinase/phosphatase; regulates production of outer membrane proteins; dimeric
era	Ribosome-associated GTPase essential for growth; also required for a normal adaptation response to thermal stress; GTP-dependent autophosphorylating protein kinase activity; membrane-associated, 16S rRNA-binding protein; cell cycle arrest, possible checkp
exbB	Uptake of enterochelin; resistance or sensitivity to colicins; similarity with TolQ
exbD	Uptake of enterochelin; resistance or sensitivity to colicins; similarity with TolR
fabA	3R-3-hydroxydecanoyl acyl carrier protein (ACP) dehydratase; also called beta-hydroxydecanoylthioester dehydrase
fabB	3-oxoacyl-[acyl-carrier-protein] synthase I; beta-Ketoacyl-ACP synthase I; KAS I; homodimeric
accB	Acetyl-CoA carboxylase, biotin carboxyl carrier protein; BCCP; homodimeric
accC	Acetyl-CoA carboxylase, biotin carboxylase (BC) subunit
fabH	beta-Ketoacyl-ACP synthase III; KAS III; monomer
fadA	Thiolase of fatty acid oxidation complex FadAB; 3-ketoacyl-CoA thiolase
fadB	Multifunctional fatty acid oxidation complex FadAB; four enzyme activities: L-3-hydroxyacyl-CoA dehydrogenase, 3-hydroxyacyl-CoA epimerase, dodecenoyl-CoA-delta-isomerase, and small-chain-length enoyl-CoA hydratase (cronotase)
fadL	Fatty acid transport protein, outer membrane; long-chain fatty acid receptor
fadR	Repressor/activator for fatty acid metabolism regulon; fatty acid-responsive transcription factor; fabAB, iclR activator (regulates aceBAK, glyoxylate shunt); fad repressor; homodimeric
fbaA	Fructose-bisphosphate aldolase, class II; binds Zn(II); homdomeric
fbp	Fructose-1,6-bisphosphatase; allosteric: inhibited by AMP
fdhE	Redox enzyme maturation protein (REMP) for FdnG/FdoG; required for formate dehydrogenase activity; probable cytoplasmic protein
fdhF	Formate dehydrogenase H, selenopeptide; molybdate dependence; part of FHL-1 and FHL-2 (formate hydrogenlyase) complexes
fecA	Outer membrane ferric citrate receptor; ferric citrate uptake, TonB-dependent; signals FecR to activate FecI
fecB	Periplasmic ferric citrate-binding protein
fecC	Ferric citrate transport membrane permease
fecD	Ferric citrate transport membrane permease
fecE	Ferric citrate ATP-binding, membrane-associated transport protein
fecI	Alternative RNAP sigma factor required for fecA promoter recognition and ferric citrate transport; activated by FecR
fecR	Transmembrane signal transducer for ferric citrate transport; recognizes FecA:ferric citrate complex in periplasm and activates FecI sigma factor in cytoplasm
fepA	Ferrienterobactin outer membrane receptor
fepB	Ferrienterobactin-binding periplasmic protein
fepC	Ferrienterobactin transporter, membrane ATP protein
fepD	Ferrienterobactin transporter, membrane permease
fepE	Ferrienterobactin transport, membrane protein; regulator of length of O-antigen component of lipopolysaccharide chains
fepG	Ferrienterobactin transporter, membrane permease
fes	Enterochelin esterase
ffh	Signal Recognition Particle (SRP) protein, with 4.5S RNA; GTPase involved in co-translational protein translocation into and through membranes
fhlA	Formate hydrogen lyase system activator, global regulator
fhuA	Outer membrane transporter for ferrichrome-iron; interacts with TonB; receptor for microcin J25, colicin M, and phages T1, T5, phi80; transports albomycin and rifamycin
fhuB	ABC transporter permease, Fe(3+)-ferrichrome uptake
fhuC	ABC transporter ATPase, Fe(3+)-ferrichrome uptake
fhuD	Periplasmic Fe(3+)-ferrichrome binding protein; binds other hydroxamate siderophores; fhuD mutants are albomycin resistant
fhuE	Outer membrane receptor for ferric-rhodotorulic acid; also receptor for ferric siderophores coprogen and ferrioxamine B
fic	Filamentation in presence of cyclic AMP, in mutants
fimA	Fimbrin type 1, major structural subunit; phase variation
fimB	Site-specific recombinase, fimA promoter inversion; mediates flagellar phase switching, along with FimE
fimC	Periplasmic chaperone for type 1 fimbriae; FimCD chaperone-usher transport
fimD	Outer membrane fimbrial subunit export usher protein; involved in export and assembly of type 1 fimbrial subunits; FimCD chaperone-usher transport
fimE	Site-specific recombinase, fimA promoter inversion; biased towards the "ON to OFF" phase switching direction
fimF	Fimbrin type 1 minor component; fimbrial morphology, assembly
fimG	Fimbrin type 1 minor component; pilus length; perhaps inhibits polymerization in pilus assembly
fimH	Minor type 1 fimbrial subunit; membrane-specific adhesin; mediates mannose-binding to host surfaces
lpxD	Lipid A synthesis, UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine N-acyltransferase
fis	Transcriptional activator for rRNA operons, bends DNA; interacts with RNAP; nucleoid-associated protein; dimeric
fldA	Flavodoxin I
flhC	Transcriptional activator of flagellar class II operons; forms heterotetramer with FlhD; CsrA regulon; may be allosteric effector of FlhD
flhD	Transcriptional activator of flagellar class II operons; forms heterotetramer with FlhC; possible role in regulation of cell division; can function in vivo independently of FlhC, but does not bind DNA by itself; contains HTH motif
fliC	Flagellin, structural gene, H-antigen
fliL	Affects rotational direction of flagella during chemotaxis
fliM	Flagellar synthesis, motor switching and energizing
fliN	Flagellar switch protein
fnr	Global transcription factor for anaerobic growth; [4FE-4S] cluster; homodimeric
folA	Dihydrofolate reductase; trimethoprim resistance
folC	Dihydrofolate:folylpolyglutamate synthase
folD	Methenyltetrahydrofolate dehydrogenase/cyclohydrolase
mutM	Formamidopyrimidine-DNA glycosylase/AP lyase; 5'-terminal deoxyribophosphodiesterase; DNA repair; GC to TA; binds Zn(II)
frdA	Fumarate reductase flavoprotein subunit
frdB	Fumarate reductase iron-sulfur protein subunit
frdC	Fumarate reductase membrane anchor polypeptide
frdD	Fumarate reductase membrane anchor polypeptide
fre	NAD(P)H-flavin reductase; ferrisiderophore reductase C
frr	Ribosome recycling factor (RRF); dissociates ribosomes from mRNA after termination of translation; tRNA mimic
fruA	Fructose permease, PTS Enzyme IIBC component
fruK	Fructose-1-phosphate kinase; 1-phosphofructokinase
fruR	Regulatory gene for fru operon, other catabolite-regulated genes
ftsA	Cell division and septation protein, specific role unknown; recruited to FtsZ ring
ftsE	ATP-binding protein associated with the inner membrane via FtsX; cell division, null mutant has filamentous growth and requires high salt for viability
ftsI	Transpetidase, PBP3; penicillin-binding protein 3 involved in septal peptidoglycan synthesis
ftsQ	Cell division and growth of wall at septum
rsmD	16S rRNA m(2)G966 methyltransferase, SAM-dependent
ftsW	Stabilizes FtsZ ring, membrane protein; faciltates septal petidoglycan synthesis by recruiting the cognate FtsI transpeptidase; SEDS protein
ftsX	Integral membrane protein invoved in cell division; binds FtsE to the inner membrane
ftsY	Signal recognition particle (SRP) receptor
ftsZ	Septal ring GTPase required for cell division and growth; initiation of septation
fucA	L-fuculose-1-phosphate aldolase
fucI	L-Fucose isomerase
fucK	L-Fuculose kinase
fucO	L-1,2-Propanediol oxidoreductase
fucP	Fucose permease
fucR	Positive regulatory protein for fuc regulon
fucU	L-Fucose mutarotase
fumA	Fumarase A, aerobic; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur
fumB	Fumarase B, anaerobic
fumC	Fumarase C, aerobic
fur	Ferric iron uptake global transcriptional repressor; activated by Fe+2; zinc metalloprotein
fusA	Elongation Factor EF-G; GTPase required for translocation from the A-site to the P-site in the ribosome; fusidic acid resistance
gabT	4-aminobutyrate aminotransferase
galE	UDP-galactose 4-epimerase; hexose-1-phosphate uridylyltransferase
galK	Galactokinase
galR	Repressor of galETK operon
galS	Repressor of the mgl operon and isorepressor of the gal operon; autoregulatory; homodimeric
galT	Galactose-1-phosphate uridylyltransferase; Rob regulon, repressed
gapA	Glyceraldehyde 3-P dehydrogenase A; binds selenium
epd	Erythrose-4-P dehydrogenase
gcd	Glucose dehydrogenase (pyrroloquinoline-quinone) quinoprotein; inner membrane protein
ispG	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis; [4Fe-4S] protein
gcvH	Glycine cleavage, carrier of aminomethyl group
gdhA	Glutamate dehydrogenase
